"chain","co_owned","date","hrsopen","observation","open","sheet","status","emptot","time","treated"
"bk","no",NA,16,"February 1992",7,315,NA,16.5,0,1
"bk","yes",NA,17,"February 1992",6,335,NA,17,0,1
"bk","yes",NA,19,"February 1992",6.5,372,NA,27.5,0,1
"roys","yes",NA,7,"February 1992",11,6,NA,5,0,1
"kfc","no",NA,11,"February 1992",11,14,NA,16,0,1
"bk","no",NA,16,"February 1992",7,26,NA,41.5,0,1
"kfc","yes",NA,10,"February 1992",11,27,NA,13,0,1
"kfc","no",NA,10,"February 1992",11,30,NA,10,0,1
"kfc","no",NA,11,"February 1992",11,31,NA,15,0,1
"roys","no",NA,17,"February 1992",6,33,NA,26,0,1
"wendys","no",NA,13,"February 1992",10.5,36,NA,18,0,1
"roys","no",NA,19,"February 1992",6,77,NA,35,0,1
"roys","yes",NA,17,"February 1992",6,78,NA,21,0,1
"wendys","no",NA,12,"February 1992",10,81,NA,34.5,0,1
"wendys","no",NA,13.5,"February 1992",10.5,82,NA,18.25,0,1
"wendys","no",NA,13.5,"February 1992",10.5,83,NA,24.5,0,1
"bk","no",NA,12.5,"February 1992",9,85,NA,20,0,1
"bk","yes",NA,16,"February 1992",7,89,NA,16,0,1
"kfc","no",NA,10,"February 1992",11,94,NA,17.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,103,NA,20.5,0,1
"wendys","no",NA,14,"February 1992",10,112,NA,20,0,1
"kfc","yes",NA,11,"February 1992",11,128,NA,12.25,0,1
"roys","no",NA,16,"February 1992",6,129,NA,33,0,1
"roys","no",NA,17,"February 1992",6,131,NA,31.5,0,1
"wendys","no",NA,12.5,"February 1992",10.5,139,NA,NA,0,1
"wendys","no",NA,11.5,"February 1992",10.5,143,NA,18,0,1
"wendys","no",NA,12.5,"February 1992",10.5,144,NA,28,0,1
"bk","no",NA,16,"February 1992",7,145,NA,16.5,0,1
"bk","no",NA,14,"February 1992",7,147,NA,14.75,0,1
"bk","no",NA,17,"February 1992",7,148,NA,23.5,0,1
"bk","no",NA,15,"February 1992",7,151,NA,10,0,1
"bk","no",NA,15,"February 1992",7,152,NA,46.5,0,1
"kfc","no",NA,12,"February 1992",10.5,157,NA,15.5,0,1
"roys","yes",NA,17,"February 1992",6,161,NA,24.5,0,1
"roys","yes",NA,16.5,"February 1992",6,163,NA,24,0,1
"roys","yes",NA,19,"February 1992",5,164,NA,23,0,1
"wendys","no",NA,12.5,"February 1992",10.5,165,NA,28,0,1
"bk","yes",NA,16,"February 1992",7,169,NA,32.5,0,1
"bk","yes",NA,16,"February 1992",7,170,NA,23,0,1
"roys","no",NA,15,"February 1992",7,187,NA,17,0,1
"roys","yes",NA,16,"February 1992",6,190,NA,30,0,1
"wendys","yes",NA,11.5,"February 1992",10.5,196,NA,21.5,0,1
"bk","no",NA,17,"February 1992",7,197,NA,32,0,1
"bk","no",NA,16,"February 1992",7,234,NA,8,0,1
"roys","yes",NA,17,"February 1992",6,240,NA,35.5,0,1
"roys","no",NA,16,"February 1992",7,241,NA,31.5,0,1
"roys","yes",NA,17,"February 1992",6,242,NA,33,0,1
"roys","no",NA,13.5,"February 1992",8.5,245,NA,22,0,1
"bk","no",NA,14.5,"February 1992",7.5,259,NA,23,0,1
"bk","yes",NA,15,"February 1992",7,268,NA,23,0,1
"kfc","yes",NA,11,"February 1992",11,271,NA,8.5,0,1
"kfc","yes",NA,11,"February 1992",11,272,NA,12.5,0,1
"kfc","yes",NA,10,"February 1992",11,274,NA,9.5,0,1
"kfc","yes",NA,10.5,"February 1992",11,276,NA,13,0,1
"bk","yes",NA,16,"February 1992",7,296,NA,17,0,1
"kfc","yes",NA,11.5,"February 1992",10.5,299,NA,9,0,1
"kfc","yes",NA,10.5,"February 1992",11,301,NA,19,0,1
"kfc","no",NA,12,"February 1992",11,320,NA,11.5,0,1
"kfc","no",NA,12.5,"February 1992",10.5,321,NA,13,0,1
"roys","no",NA,24,"February 1992",0,324,NA,48,0,1
"roys","yes",NA,24,"February 1992",0,326,NA,45.5,0,1
"wendys","no",NA,15.5,"February 1992",10.5,330,NA,15,0,1
"bk","no",NA,12.5,"February 1992",9,334,NA,18,0,1
"roys","yes",NA,16,"February 1992",6,349,NA,21,0,1
"wendys","no",NA,10.5,"February 1992",10.5,354,NA,20.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,356,NA,20.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,357,NA,17.5,0,1
"bk","no",NA,16,"February 1992",7,371,NA,27.5,0,1
"bk","yes",NA,15.5,"February 1992",6.5,373,NA,24,0,1
"bk","no",NA,15,"February 1992",7,375,NA,34,0,1
"bk","yes",NA,18.5,"February 1992",6.5,378,NA,18,0,1
"bk","no",NA,16.5,"February 1992",6.5,381,NA,24,0,1
"roys","yes",NA,18,"February 1992",6,403,NA,NA,0,1
"wendys","yes",NA,11.5,"February 1992",10.5,406,NA,33.5,0,1
"wendys","yes",NA,10.5,"February 1992",11,408,NA,12,0,1
"bk","no",NA,15,"February 1992",7,409,NA,35,0,1
"bk","no",NA,16,"February 1992",7,1,NA,35,0,1
"bk","no",NA,14,"February 1992",7,2,NA,16,0,1
"kfc","no",NA,10,"February 1992",11,3,NA,15.5,0,1
"roys","no",NA,12.5,"February 1992",9,4,NA,19,0,1
"roys","no",NA,17,"February 1992",6,5,NA,24,0,1
"wendys","no",NA,12,"February 1992",10.5,8,NA,NA,0,1
"bk","no",NA,16,"February 1992",7,9,NA,36,0,1
"bk","no",NA,16,"February 1992",7,10,NA,29,0,1
"bk","no",NA,16,"February 1992",7,11,NA,29,0,1
"bk","no",NA,16,"February 1992",7,12,NA,21.25,0,1
"kfc","no",NA,10,"February 1992",11,13,NA,15.5,0,1
"roys","no",NA,17,"February 1992",6,15,NA,19.5,0,1
"roys","no",NA,17,"February 1992",6,16,NA,21,0,1
"roys","no",NA,17,"February 1992",6,17,NA,14,0,1
"roys","no",NA,17,"February 1992",6,18,NA,30.5,0,1
"bk","no",NA,16,"February 1992",6,19,NA,23.5,0,1
"kfc","no",NA,10.5,"February 1992",10.5,21,NA,14,0,1
"roys","no",NA,16,"February 1992",7,22,NA,14.5,0,1
"bk","no",NA,16,"February 1992",7,23,NA,15.5,0,1
"bk","no",NA,16,"February 1992",7,24,NA,26.5,0,1
"kfc","no",NA,10,"February 1992",11,28,NA,8,0,1
"kfc","no",NA,11,"February 1992",11,29,NA,5.5,0,1
"roys","no",NA,11.5,"February 1992",10.5,32,NA,23.25,0,1
"roys","yes",NA,11.5,"February 1992",10.5,34,NA,15.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,35,NA,32.25,0,1
"bk","no",NA,17,"February 1992",6,38,NA,30,0,1
"bk","yes",NA,18,"February 1992",6,63,NA,NA,0,1
"bk","no",NA,16,"February 1992",7,64,NA,30.5,0,1
"bk","no",NA,15.5,"February 1992",6.5,65,NA,14,0,1
"bk","no",NA,17,"February 1992",7,66,NA,27,0,1
"bk","no",NA,13.5,"February 1992",8,67,NA,18.5,0,1
"bk","no",NA,17,"February 1992",7,68,NA,38,0,1
"bk","no",NA,18,"February 1992",7,69,NA,16.5,0,1
"bk","no",NA,16,"February 1992",7,70,NA,50,0,1
"bk","no",NA,17,"February 1992",7,71,NA,20.5,0,1
"kfc","no",NA,12,"February 1992",11,73,NA,6.5,0,1
"kfc","no",NA,11,"February 1992",11,75,NA,13.5,0,1
"roys","yes",NA,17,"February 1992",6,76,NA,28,0,1
"roys","yes",NA,17,"February 1992",6,79,NA,21.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,80,NA,NA,0,1
"bk","no",NA,16,"February 1992",7,84,NA,24,0,1
"bk","no",NA,15,"February 1992",7,86,NA,20.5,0,1
"bk","no",NA,15,"February 1992",7,87,NA,NA,0,1
"bk","no",NA,15,"February 1992",7,88,NA,23.5,0,1
"bk","yes",NA,17,"February 1992",7,91,NA,23,0,1
"bk","yes",NA,15,"February 1992",7,92,NA,17,0,1
"bk","yes",NA,16,"February 1992",7,93,NA,20.5,0,1
"kfc","no",NA,10,"February 1992",11,95,NA,23.5,0,1
"kfc","no",NA,10,"February 1992",11.5,96,NA,9.5,0,1
"kfc","no",NA,10,"February 1992",11,97,NA,10,0,1
"kfc","no",NA,10,"February 1992",11,98,NA,14,0,1
"roys","yes",NA,24,"February 1992",0,99,NA,85,0,1
"roys","no",NA,15,"February 1992",7,101,NA,15,0,1
"roys","no",NA,16,"February 1992",7,102,NA,21.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,104,NA,53,0,1
"bk","no",NA,16.5,"February 1992",6.5,105,NA,24,0,1
"bk","no",NA,16,"February 1992",7,106,NA,20.5,0,1
"bk","yes",NA,14.5,"February 1992",8,107,NA,14.5,0,1
"bk","no",NA,17,"February 1992",7,108,NA,25,0,1
"roys","no",NA,16,"February 1992",7,111,NA,27,0,1
"bk","no",NA,16,"February 1992",7,114,NA,22.5,0,1
"bk","no",NA,17,"February 1992",7,115,NA,36.5,0,1
"bk","no",NA,13,"February 1992",8.5,116,NA,17.25,0,1
"bk","no",NA,15,"February 1992",7,118,NA,21.5,0,1
"bk","no",NA,16.5,"February 1992",6.5,119,NA,24.5,0,1
"bk","yes",NA,16,"February 1992",7,120,NA,19,0,1
"bk","no",NA,12.5,"February 1992",9,122,NA,25,0,1
"bk","no",NA,15,"February 1992",8,124,NA,16,0,1
"kfc","no",NA,12.5,"February 1992",10,125,NA,19,0,1
"roys","yes",NA,18,"February 1992",5,130,NA,22.75,0,1
"roys","yes",NA,24,"February 1992",0,132,NA,35,0,1
"roys","yes",NA,17,"February 1992",6,133,NA,16,0,1
"roys","no",NA,16,"February 1992",6,134,NA,21,0,1
"roys","yes",NA,17,"February 1992",6,136,NA,26.75,0,1
"roys","yes",NA,16,"February 1992",6,137,NA,30.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,140,NA,23,0,1
"wendys","no",NA,12.5,"February 1992",10.5,141,NA,21.5,0,1
"wendys","no",NA,11.5,"February 1992",10,142,NA,36.5,0,1
"bk","no",NA,16,"February 1992",7,146,NA,23,0,1
"bk","no",NA,16,"February 1992",7,149,NA,14,0,1
"bk","no",NA,16,"February 1992",7,150,NA,17.25,0,1
"bk","no",NA,15,"February 1992",7,156,NA,18.5,0,1
"kfc","no",NA,10,"February 1992",11,158,NA,8.5,0,1
"kfc","no",NA,10.5,"February 1992",10.5,159,NA,14,0,1
"roys","yes",NA,16.5,"February 1992",6,162,NA,23,0,1
"wendys","no",NA,11.5,"February 1992",10.5,166,NA,29,0,1
"bk","no",NA,15,"February 1992",7,168,NA,19,0,1
"bk","yes",NA,16,"February 1992",7,171,NA,21,0,1
"bk","no",NA,12.5,"February 1992",9,172,NA,17,0,1
"bk","no",NA,17.5,"February 1992",6.5,173,NA,36,0,1
"bk","no",NA,16,"February 1992",7,174,NA,25,0,1
"bk","no",NA,16,"February 1992",7,176,NA,29.5,0,1
"kfc","yes",NA,10,"February 1992",11,178,NA,22,0,1
"kfc","no",NA,10.5,"February 1992",10.5,179,NA,11,0,1
"kfc","no",NA,11,"February 1992",11,180,NA,13.5,0,1
"kfc","no",NA,11,"February 1992",11,182,NA,13.5,0,1
"kfc","no",NA,11,"February 1992",11,183,NA,18,0,1
"kfc","no",NA,10.5,"February 1992",11,185,NA,9.5,0,1
"roys","no",NA,16,"February 1992",6,186,NA,24,0,1
"roys","no",NA,15,"February 1992",7,189,NA,14.5,0,1
"wendys","no",NA,12,"February 1992",10,192,NA,29,0,1
"wendys","no",NA,11,"February 1992",10,193,NA,10.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,195,NA,18,0,1
"bk","no",NA,16,"February 1992",7,198,NA,NA,0,1
"kfc","no",NA,10,"February 1992",11,199,NA,9,0,1
"bk","no",NA,18,"February 1992",6,200,NA,33,0,1
"bk","no",NA,17,"February 1992",7,201,NA,19.5,0,1
"bk","no",NA,19,"February 1992",6,202,NA,41,0,1
"bk","no",NA,17,"February 1992",7,203,NA,17,0,1
"bk","no",NA,17.5,"February 1992",6.5,204,NA,18.25,0,1
"kfc","yes",NA,12,"February 1992",11,207,NA,17,0,1
"roys","yes",NA,17,"February 1992",6,208,NA,32,0,1
"roys","yes",NA,18,"February 1992",6,209,NA,26,0,1
"wendys","yes",NA,11.5,"February 1992",10.5,210,NA,11.5,0,1
"bk","no",NA,15,"February 1992",7,211,NA,21,0,1
"bk","no",NA,16,"February 1992",7,212,NA,22.75,0,1
"bk","yes",NA,17.5,"February 1992",6.5,213,NA,18.5,0,1
"bk","no",NA,16,"February 1992",7,214,NA,20,0,1
"bk","no",NA,16,"February 1992",7,215,NA,18,0,1
"kfc","no",NA,10.5,"February 1992",11,216,NA,10.5,0,1
"kfc","yes",NA,10,"February 1992",11,217,NA,10.5,0,1
"kfc","yes",NA,10,"February 1992",11,218,NA,11,0,1
"kfc","yes",NA,10,"February 1992",11,219,NA,10.5,0,1
"kfc","no",NA,10,"February 1992",11,220,NA,12.5,0,1
"kfc","no",NA,11,"February 1992",11,221,NA,18,0,1
"roys","yes",NA,12.5,"February 1992",9,222,NA,17,0,1
"roys","yes",NA,16,"February 1992",6,223,NA,15,0,1
"roys","yes",NA,17,"February 1992",6,225,NA,19.5,0,1
"wendys","no",NA,11.5,"February 1992",10.5,226,NA,13,0,1
"wendys","no",NA,12.5,"February 1992",10.5,228,NA,20.25,0,1
"bk","no",NA,13.5,"February 1992",8.5,229,NA,26,0,1
"bk","no",NA,17,"February 1992",7,230,NA,15.5,0,1
"bk","no",NA,16,"February 1992",7,232,NA,24,0,1
"bk","no",NA,16,"February 1992",7,233,NA,25.5,0,1
"bk","no",NA,16,"February 1992",7,235,NA,14.5,0,1
"bk","no",NA,16,"February 1992",7,237,NA,21.5,0,1
"kfc","yes",NA,12,"February 1992",11,238,NA,14,0,1
"kfc","no",NA,13.5,"February 1992",10.5,239,NA,20,0,1
"roys","yes",NA,16.5,"February 1992",6,243,NA,22.5,0,1
"roys","yes",NA,18,"February 1992",6,244,NA,30,0,1
"wendys","no",NA,15.5,"February 1992",10.5,247,NA,24,0,1
"wendys","no",NA,16,"February 1992",10,248,NA,22,0,1
"bk","no",NA,15,"February 1992",7,249,NA,13,0,1
"kfc","yes",NA,10,"February 1992",11,250,NA,5,0,1
"roys","yes",NA,13,"February 1992",7,253,NA,13.5,0,1
"bk","no",NA,16,"February 1992",7,257,NA,28,0,1
"bk","no",NA,16,"February 1992",7,258,NA,18,0,1
"bk","yes",NA,16,"February 1992",7,260,NA,24,0,1
"bk","no",NA,16.5,"February 1992",6.5,262,NA,16.5,0,1
"bk","no",NA,15,"February 1992",7,264,NA,7,0,1
"bk","no",NA,16,"February 1992",7,265,NA,11,0,1
"bk","no",NA,16,"February 1992",7,267,NA,19.5,0,1
"kfc","yes",NA,10,"February 1992",11,269,NA,10,0,1
"kfc","yes",NA,10,"February 1992",11,273,NA,13,0,1
"kfc","yes",NA,11,"February 1992",11,275,NA,10,0,1
"kfc","yes",NA,10,"February 1992",11,277,NA,12.5,0,1
"kfc","yes",NA,10,"February 1992",11,278,NA,8,0,1
"roys","yes",NA,16,"February 1992",6,282,NA,12,0,1
"roys","yes",NA,16,"February 1992",6,284,NA,20.5,0,1
"roys","yes",NA,16,"February 1992",6,285,NA,18.5,0,1
"roys","yes",NA,11.5,"February 1992",10,286,NA,11.5,0,1
"roys","yes",NA,16,"February 1992",6,287,NA,15,0,1
"roys","yes",NA,16,"February 1992",6,288,NA,13,0,1
"roys","yes",NA,16,"February 1992",6,289,NA,10,0,1
"wendys","no",NA,12.5,"February 1992",10.5,290,NA,17,0,1
"wendys","no",NA,11.5,"February 1992",10.5,291,NA,17,0,1
"wendys","no",NA,16,"February 1992",7,292,NA,20.5,0,1
"bk","no",NA,16.5,"February 1992",6.5,295,NA,15.5,0,1
"bk","yes",NA,16,"February 1992",7,297,NA,19.5,0,1
"roys","yes",NA,17,"February 1992",6,303,NA,30.5,0,1
"roys","no",NA,17,"February 1992",6,304,NA,23,0,1
"roys","yes",NA,17,"February 1992",6,305,NA,13,0,1
"roys","yes",NA,18,"February 1992",6,307,NA,30.25,0,1
"wendys","no",NA,11.5,"February 1992",10.5,310,NA,18,0,1
"bk","no",NA,11,"February 1992",8,312,NA,10,0,1
"bk","no",NA,15,"February 1992",7,313,NA,19.5,0,1
"bk","no",NA,15,"February 1992",7,314,NA,17,0,1
"bk","yes",NA,16,"February 1992",7,316,NA,25.5,0,1
"bk","no",NA,12,"February 1992",8,317,NA,6,0,1
"kfc","no",NA,12,"February 1992",11,318,NA,11.5,0,1
"kfc","no",NA,12.5,"February 1992",10.5,319,NA,8.5,0,1
"roys","yes",NA,16,"February 1992",6,322,NA,18.5,0,1
"roys","yes",NA,15,"February 1992",6,325,NA,15.5,0,1
"bk","no",NA,15,"February 1992",7,333,NA,14.25,0,1
"bk","no",NA,15,"February 1992",7,336,NA,38,0,1
"bk","yes",NA,17,"February 1992",7,337,NA,24.75,0,1
"bk","yes",NA,16,"February 1992",7,339,NA,23,0,1
"bk","no",NA,14.5,"February 1992",7.5,340,NA,24,0,1
"kfc","yes",NA,9.5,"February 1992",11,341,NA,7.5,0,1
"kfc","yes",NA,10.5,"February 1992",11,343,NA,15,0,1
"kfc","yes",NA,10,"February 1992",11,346,NA,9.25,0,1
"roys","yes",NA,10.5,"February 1992",10.5,348,NA,11.25,0,1
"roys","yes",NA,16,"February 1992",6,350,NA,16.5,0,1
"roys","yes",NA,16,"February 1992",6,351,NA,18.75,0,1
"roys","yes",NA,11.5,"February 1992",10,352,NA,13.5,0,1
"roys","yes",NA,16,"February 1992",6,353,NA,21.75,0,1
"wendys","no",NA,11.5,"February 1992",10.5,355,NA,13.5,0,1
"bk","yes",NA,15,"February 1992",7,359,NA,15,0,1
"bk","no",NA,15,"February 1992",7,360,NA,17.5,0,1
"bk","no",NA,16,"February 1992",7,361,NA,17.5,0,1
"kfc","no",NA,12.5,"February 1992",10.5,362,NA,NA,0,1
"kfc","no",NA,12.5,"February 1992",10.5,363,NA,15.5,0,1
"kfc","no",NA,12,"February 1992",11,364,NA,16.5,0,1
"roys","no",NA,11.5,"February 1992",10.5,366,NA,13.5,0,1
"wendys","no",NA,12.5,"February 1992",10.5,368,NA,13,0,1
"bk","yes",NA,15,"February 1992",7,369,NA,11.5,0,1
"bk","no",NA,16,"February 1992",7,370,NA,29.05,0,1
"bk","no",NA,14,"February 1992",8,376,NA,13,0,1
"bk","no",NA,14,"February 1992",8,377,NA,18,0,1
"bk","no",NA,16,"February 1992",7,379,NA,30,0,1
"bk","no",NA,16,"February 1992",7,380,NA,20.5,0,1
"bk","no",NA,16,"February 1992",7,383,NA,10,0,1
"bk","no",NA,16,"February 1992",7,384,NA,NA,0,1
"bk","no",NA,17,"February 1992",7,385,NA,26,0,1
"bk","no",NA,17,"February 1992",7,386,NA,12.5,0,1
"kfc","no",NA,10,"February 1992",11,391,NA,19.5,0,1
"kfc","yes",NA,11,"February 1992",11,393,NA,12,0,1
"roys","yes",NA,17,"February 1992",6,396,NA,36,0,1
"roys","yes",NA,17,"February 1992",6,397,NA,21,0,1
"roys","yes",NA,17,"February 1992",6,398,NA,24.5,0,1
"roys","yes",NA,17,"February 1992",6,399,NA,20,0,1
"roys","yes",NA,17,"February 1992",6,400,NA,26.5,0,1
"roys","no",NA,16,"February 1992",7,401,NA,15,0,1
"roys","yes",NA,16,"February 1992",6,402,NA,19,0,1
"roys","yes",NA,17,"February 1992",6,405,NA,17.5,0,1
"bk","no",NA,16,"February 1992",7,410,NA,20.5,0,1
"bk","no",NA,16,"February 1992",7,411,NA,21,0,1
"kfc","no",NA,11,"February 1992",11,412,NA,10.5,0,1
"bk","no",NA,17,"February 1992",6,413,NA,23,0,1
"bk","no",NA,16,"February 1992",7,414,NA,23,0,1
"bk","no",NA,16,"February 1992",7,415,NA,29,0,1
"bk","yes",NA,16,"February 1992",7,417,NA,21,0,1
"bk","no",NA,15,"February 1992",8,418,NA,41.5,0,1
"kfc","yes",NA,11,"February 1992",11,419,NA,12,0,1
"kfc","yes",NA,13,"February 1992",10.5,421,NA,33,0,1
"kfc","no",NA,11,"February 1992",10,422,NA,6.5,0,1
"kfc","yes",NA,12,"February 1992",11,423,NA,9,0,1
"kfc","yes",NA,11,"February 1992",11,424,NA,9.75,0,1
"roys","yes",NA,19,"February 1992",5,426,NA,24.5,0,1
"wendys","no",NA,12.5,"February 1992",10.5,427,NA,14,0,1
"wendys","no",NA,12.5,"February 1992",10.5,428,NA,19.5,0,1
"bk","no",1992-11-17,16.5,"November 1992",6.5,46,"answered 2nd interview",24,1,0
"kfc","no",1992-11-12,13,"November 1992",10,49,"answered 2nd interview",11.5,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,506,"answered 2nd interview",10.5,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,56,"answered 2nd interview",20,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,61,"answered 2nd interview",35.5,1,0
"wendys","yes",1992-11-14,12,"November 1992",10,62,"answered 2nd interview",NA,1,0
"bk","no",1992-11-07,18,"November 1992",6,445,"answered 2nd interview",29,1,0
"bk","no",1992-11-17,24,"November 1992",0,451,"answered 2nd interview",36.5,1,0
"kfc","yes",1992-11-12,11,"November 1992",11,455,"answered 2nd interview",11,1,0
"kfc","yes",1992-11-17,10.5,"November 1992",11,458,"answered 2nd interview",8.5,1,0
"roys","yes",1992-12-22,12,"November 1992",9,462,"answered 2nd interview",17.5,1,0
"bk","no",1992-11-07,18,"November 1992",6,468,"answered 2nd interview",29,1,0
