"koddz","prywatna","zam_miasto","zam_wies","zam_liczba","wiek_m","wiek_o","edu_o","edu_m","prestiz_m","prestiz_o","dochod_g","bieda","wynik"
0011024C,0,1,0,1,35,35,0,0,38.18,35.78,150000.5,0,64.616
0013007C,0,1,0,1,45,46,0,0,63.43,63.43,150000.5,0,52.723
0013009C,0,1,0,1,51,47,0,0,63.43,62.87,62500.5,0,51.895
0014001C,0,1,0,1,35,37,0,0,35.92,34.95,45000.5,0,58.477
0014002C,0,1,0,1,36,35,0,0,38.18,39.18,45000.5,0,42.011
0015003C,0,1,0,1,35,37,1,1,38.18,53.5,45000.5,0,57.2
0015004C,0,1,0,3,29,32,0,1,35.92,34.95,17500.5,1,35.879
0015006C,0,1,0,1,41,55,1,0,38.18,35.92,37500.5,0,52.727
0015014C,0,1,0,1,35,36,0,0,59,48.69,62500.5,0,51.634
0015019C,0,1,0,1,35,38,0,0,34.95,29.6,37500.5,0,61.212
0015020C,0,1,0,1,39,54,0,0,34.95,38.18,37500.5,0,53.151
0015026C,0,1,0,1,36,39,0,0,63.43,52.54,45000.5,0,59.455
0016004C,0,1,0,1,39,35,1,1,35.78,35.92,27500.5,0,35.856
0016008C,0,1,0,1,31,38,1,1,35.63,29.6,17500.5,1,21.748
0020001C,0,1,0,1,29,36,1,1,34.95,39.2,45000.5,0,41.462
0020003C,0,1,0,1,44,50,0,1,38.18,39.2,37500.5,0,56.234
0020004C,0,1,0,1,31,38,1,1,35.92,35.92,62500.5,0,35.787
0020007C,0,0,0,1,38,45,0,0,38.18,39.2,27500.5,0,51.123
0020010C,0,0,0,1,51,53,0,0,34.95,53.5,32500.5,0,52.439
0020013C,0,1,0,1,32,49,1,0,38.18,29.6,37500.5,0,42.188
0020014C,0,1,0,1,38,41,0,1,64.89,52.54,87500.5,0,57.169
0020018C,0,1,0,1,42,41,1,0,63.43,35.63,87500.5,0,21.812
0020024C,0,1,0,1,30,26,1,1,38.18,39.18,62500.5,0,34.803
0021001C,0,1,0,1,40,35,1,1,34.95,53.5,7500.5,1,48.624
0021002C,0,1,0,1,44,58,1,1,38.18,39.18,32500.5,0,50.647
0022006C,0,1,0,1,32,40,1,1,53.5,34.95,45000.5,0,50.852
0022008C,0,1,0,1,32,31,1,1,34.95,37.67,17500.5,1,52.024
0022012C,0,1,0,1,30,30,1,1,34.95,39.18,37500.5,0,40.054
0022013C,0,1,0,1,37,44,0,0,38.18,53.5,62500.5,0,57.386
0022016C,0,1,0,1,40,39,0,1,63.43,39.18,150000.5,0,36.914
0022017C,0,1,0,2,32,35,1,1,53.5,39.18,87500.5,0,44.647
0022018C,0,1,0,1,38,42,0,0,38.18,37.67,22500.5,1,60.34
0022020C,0,1,0,1,29,30,1,1,34.95,29.6,27500.5,0,32.76
0022024C,0,1,0,1,46,48,0,0,77.5,64.89,150000.5,0,55.206
0023001C,0,1,0,1,34,37,1,1,39.2,39.2,27500.5,0,55.026
0023003C,0,1,0,1,41,41,0,0,35.78,35.78,87500.5,0,55.98
0023006C,0,1,0,1,36,37,1,1,38.18,39.18,37500.5,0,34.321
0023007C,0,1,0,1,34,38,1,1,35.78,38.18,62500.5,0,47.631
0023010C,0,1,0,1,35,50,0,0,63.43,34.95,37500.5,0,45.424
0023011C,0,1,0,3,33,33,1,0,34.95,39.2,37500.5,0,52.562
0023012C,0,1,0,1,41,46,0,1,38.18,64.89,62500.5,0,56.549
0023015C,0,1,0,1,39,37,1,0,53.5,35.92,62500.5,0,64.18
0023016C,0,1,0,1,41,39,0,0,59,34.95,87500.5,0,58.489
0023020C,0,1,0,1,37,40,0,0,38.18,34.95,45000.5,0,45.163
0023021C,0,1,0,1,33,32,1,1,38.18,39.18,37500.5,0,47.773
0024004C,0,1,0,1,50,47,0,0,72.1,63.43,150000.5,0,62.321
0024011C,0,1,0,1,24,24,0,0,34.95,53.5,27500.5,0,49.671
0025001C,0,0,0,1,38,41,0,0,53.5,72.1,150000.5,0,60.915
0025005C,0,1,0,1,44,44,0,0,63.43,64.89,87500.5,0,56.559
0025018C,0,1,0,1,34,34,0,1,53.5,38.18,45000.5,0,48.807
0025020C,0,1,0,1,37,39,1,1,35.78,39.18,62500.5,0,36.482
0026005C,0,1,0,1,42,42,0,0,52.54,35.63,45000.5,0,74.248
0026008C,0,1,0,1,46,41,0,0,38.18,53.5,87500.5,0,57.313
0026011C,0,1,0,3,46,48,0,0,53.5,63.43,62500.5,0,59.292
0026014C,0,1,0,1,37,41,0,0,38.18,39.2,45000.5,0,50.512
0026015C,0,1,0,1,46,44,1,1,38.18,39.2,62500.5,0,46.613
0028001C,1,0,0,1,35,37,0,0,61.56,53.5,62500.5,0,45.252
0028002C,1,1,0,1,45,46,0,0,77.5,77.5,62500.5,0,58.224
0028003C,1,1,0,1,38,38,0,0,38.18,39.2,62500.5,0,57.484
0028006C,1,1,0,1,42,46,0,0,38.18,77.5,62500.5,0,47.66
0028007C,1,1,0,1,41,41,0,0,61.56,61.56,87500.5,0,56.111
0028008C,1,1,0,1,36,40,1,1,38.18,39.2,45000.5,0,44.09
0028009C,1,1,0,1,38,45,0,0,63.43,64.89,87500.5,0,55.635
0028010C,1,1,0,1,40,45,0,0,63.43,59,62500.5,0,63.876
0028011C,1,1,0,1,40,42,1,1,53.5,38.18,45000.5,0,41.28
0028012C,1,1,0,1,44,42,0,0,61.56,53.5,150000.5,0,59.532
0028014C,1,1,0,1,33,41,1,1,38.18,39.2,62500.5,0,52.433
0029002C,0,1,0,1,34,32,1,1,38.18,48.69,62500.5,0,40.093
0029003C,0,1,0,1,32,39,0,1,34.95,53.5,45000.5,0,50.493
0029004C,0,1,0,2,49,46,0,0,61.56,35.63,62500.5,0,60.809
0029007C,0,1,0,1,43,48,1,0,38.18,39.2,62500.5,0,52.975
0029009C,0,1,0,1,38,42,0,0,35.78,39.2,27500.5,0,62.614
0029012C,0,1,0,1,42,46,0,0,63.43,64.89,150000.5,0,61.758
0029013C,0,1,0,1,38,41,0,1,35.78,35.78,150000.5,0,48.06
0029020C,0,1,0,1,42,41,0,0,53.5,48.69,150000.5,0,71.778
0029021C,0,1,0,1,27,41,0,0,53.5,35.78,87500.5,0,48.332
0029022C,0,1,0,1,35,36,1,1,33.42,37.67,62500.5,0,35.151
0032006C,0,0,0,1,37,39,0,0,34.95,34.95,32500.5,0,52.725
0032008C,0,1,0,1,41,43,0,0,53.5,35.78,150000.5,0,57.452
0032013C,0,1,0,1,29,25,1,1,35.78,35.78,37500.5,0,47.213
0032022C,0,1,0,1,30,31,1,1,34.95,35.92,62500.5,0,42.1
0032024C,0,1,0,1,44,41,1,1,35.78,39.2,62500.5,0,52.062
0033001C,0,0,0,1,35,36,0,0,53.5,48.69,150000.5,0,44.743
0033003C,0,1,0,1,41,43,0,0,61.56,53.5,150000.5,0,50.695
0033005C,0,1,0,1,45,50,1,0,38.18,34.95,45000.5,0,51.682
0033006C,0,1,0,1,39,41,0,0,38.18,35.78,150000.5,0,53.912
0033007C,0,1,0,1,27,29,0,1,38.18,39.2,87500.5,0,40.803
0033009C,0,1,0,1,44,45,0,0,38.18,53.5,150000.5,0,53.587
0033013C,0,0,0,1,33,35,1,1,34.95,33.42,27500.5,0,46.158
0033015C,0,1,0,1,41,42,0,0,59,33.42,150000.5,0,62.941
0033016C,0,1,0,2,38,47,0,0,38.18,63.43,150000.5,0,57.573
0033017C,0,1,0,1,42,46,1,0,61.56,34.95,87500.5,0,49.521
0033018C,0,1,0,1,45,50,0,0,38.18,53.5,87500.5,0,62.858
0033020C,0,1,0,1,44,50,0,0,38.18,53.5,37500.5,0,66.707
0033022C,0,1,0,1,43,42,1,1,38.18,35.92,62500.5,0,35.518
0033024C,0,1,0,1,42,41,0,0,38.18,39.18,87500.5,0,53.048
0034002C,0,0,0,1,41,43,1,1,34.95,34.95,22500.5,0,48.805
0034005C,0,0,0,1,35,41,1,1,34.95,34.95,62500.5,0,45.39
0034006C,0,0,1,1,35,43,0,0,34.95,52.54,45000.5,0,48.805
0036007C,0,1,0,1,36,35,1,0,38.18,38.18,27500.5,0,55.043
0036013C,1,1,0,1,41,40,0,0,52.54,48.69,27500.5,0,35.391
0036014C,0,1,0,1,43,44,1,1,35.92,39.18,87500.5,0,71.211
0037005C,0,0,1,1,39,43,1,1,35.78,39.2,27500.5,1,50.574
0037011C,0,1,0,1,38,36,1,1,35.78,39.2,27500.5,0,43.035
0037018C,0,0,1,1,36,39,1,1,38.18,39.2,37500.5,0,49.306
0037023C,0,0,0,1,32,41,0,1,34.95,35.78,27500.5,0,49.775
0038010C,0,0,1,1,39,42,0,0,61.56,61.56,45000.5,0,39.868
0038012C,0,1,0,1,37,36,0,0,53.5,38.18,87500.5,0,35.087
0038016C,0,1,0,2,35,52,1,0,63.43,34.95,12500.5,1,39.138
0038017C,0,1,0,1,43,45,0,1,38.18,52.54,37500.5,0,53.572
0038020C,0,1,0,1,36,36,0,0,34.95,34.95,37500.5,0,64.191
0038022C,0,0,0,1,34,39,1,1,34.95,39.2,27500.5,0,52.587
0039003C,0,1,0,1,50,46,0,0,63.43,64.89,150000.5,0,59.098
0039016C,0,1,0,2,42,39,0,0,72.1,53.5,150000.5,0,66.634
0040012C,0,1,0,2,37,37,0,0,63.43,38.18,37500.5,0,47.977
0040014C,0,0,0,1,32,36,1,1,38.18,37.67,27500.5,0,44.38
0040016C,0,0,0,2,34,30,1,1,34.95,34.95,17500.5,1,46.78
0040017C,0,0,0,1,33,38,0,1,34.95,34.95,7500.5,1,47.983
0040019C,0,0,0,2,30,42,0,1,34.95,35.78,32500.5,0,48.029
0040021C,0,0,0,1,32,42,0,0,34.95,34.95,22500.5,0,36.146
0040023C,0,0,0,1,52,54,1,1,34.95,34.95,27500.5,0,49.683
0040042C,0,1,0,2,34,44,1,1,34.95,29.6,22500.5,0,52.464
0041006C,0,1,0,1,37,39,1,1,53.5,34.95,37500.5,0,48.995
0042002C,0,0,0,1,33,37,1,1,38.18,33.42,22500.5,0,53.535
0042003C,0,0,0,1,35,42,1,1,38.18,33.42,62500.5,0,34.043
0042004C,0,0,0,3,36,42,1,0,38.18,64.89,17500.5,1,38.137
0042006C,0,0,0,1,29,33,0,0,38.18,38.18,32500.5,0,68.519
0042010C,0,0,0,1,36,42,1,1,34.95,34.95,37500.5,0,53.52
0042016C,0,0,0,1,31,30,0,0,38.18,34.95,62500.5,0,57.404
0043003C,0,1,0,1,42,39,1,0,38.18,35.92,62500.5,0,41.723
0043006C,0,1,0,1,35,41,0,0,61.56,61.56,87500.5,0,57.027
0043007C,0,1,0,1,47,49,1,1,33.42,38.18,37500.5,0,52.982
0043011C,0,1,0,1,42,41,1,1,38.18,35.92,62500.5,0,35.717
0043014C,0,1,0,1,42,37,1,0,38.18,39.2,45000.5,0,60.198
0043015C,0,1,0,1,43,56,0,1,53.5,34.95,27500.5,1,47.612
0043016C,0,0,1,1,37,31,1,1,34.95,35.78,27500.5,0,38.998
0043018C,0,1,0,1,30,35,0,1,48.69,29.6,45000.5,0,55.516
0043020C,0,0,0,1,38,44,0,1,34.95,34.95,32500.5,0,25.142
0045001C,0,0,0,1,47,42,0,0,63.43,77.5,87500.5,0,52.934
0045003C,0,1,0,1,43,45,1,0,38.18,53.5,150000.5,0,62.307
0045004C,0,1,0,1,47,48,0,0,34.95,53.5,150000.5,0,58.31
0045006C,0,0,0,1,44,43,0,0,38.18,53.5,87500.5,0,57.909
0045008C,0,1,0,1,41,43,0,1,38.18,35.92,87500.5,0,56.37
0045009C,0,1,0,1,41,41,1,0,33.42,53.5,62500.5,0,56.322
0045010C,0,1,0,1,44,53,0,0,53.5,53.5,150000.5,0,59.194
0045011C,0,1,0,1,41,42,1,0,38.18,39.18,150000.5,0,46.016
0045013C,0,0,1,1,42,49,0,0,53.5,48.69,150000.5,0,51.2
0045014C,0,1,0,1,39,38,0,0,34.95,53.5,150000.5,0,47.798
0045015C,0,1,0,1,42,42,0,0,38.18,53.5,150000.5,0,64.919
0045017C,0,1,0,1,44,44,0,0,63.43,52.54,150000.5,0,71.855
0045021C,0,1,0,1,39,42,0,0,61.56,53.5,150000.5,0,57.809
0045022C,0,1,0,1,48,47,0,0,53.5,59,150000.5,0,61.243
0045024C,0,1,0,1,37,41,0,0,63.43,53.5,62500.5,0,60.527
0045040C,0,1,0,1,31,33,1,1,38.18,35.63,32500.5,0,41.766
0046011C,0,0,1,1,33,31,1,1,63.43,34.95,32500.5,0,31.565
0046012C,0,0,0,1,33,31,1,1,38.18,38.18,22500.5,1,37.515
0046018C,0,0,0,2,27,28,1,1,38.18,34.95,12500.5,1,45.39
0047004C,0,1,0,1,42,43,0,0,53.5,53.5,150000.5,0,53.071
0047006C,0,1,0,1,37,47,0,0,64.89,64.89,45000.5,0,58.174
0047007C,0,1,0,1,40,47,0,0,53.5,38.18,87500.5,0,33.242
0047008C,0,1,0,1,37,36,0,0,53.5,39.18,150000.5,0,52.806
0047009C,0,1,0,1,38,37,0,0,38.18,63.43,45000.5,0,56.52
0047011C,0,1,0,1,37,32,1,1,38.18,35.92,200001,0,52.114
0047014C,0,1,0,2,40,48,0,0,63.43,64.89,87500.5,0,47.08
0047015C,0,1,0,1,42,42,0,0,53.5,35.78,87500.5,0,61.093
0047017C,0,1,0,1,35,38,1,1,34.95,39.2,37500.5,0,52.026
0047021C,0,1,0,1,39,39,0,0,38.18,39.18,87500.5,0,53.862
0047022C,0,1,0,1,39,40,1,1,38.18,35.92,62500.5,0,53.758
0047024C,0,1,0,1,41,42,0,0,38.18,53.5,62500.5,0,41.015
0049002C,0,0,0,1,36,35,1,1,33.42,39.18,62500.5,0,53
0049005C,0,1,0,1,31,33,0,1,34.95,39.2,37500.5,0,45.409
0049008C,0,1,0,1,38,42,0,0,38.18,63.43,62500.5,0,63.65
0049010C,0,1,0,1,37,39,1,1,35.92,35.92,37500.5,0,44.541
0049014C,0,0,0,1,24,23,1,1,34.95,29.6,32500.5,1,44.23
0049018C,0,1,0,1,46,51,0,0,63.43,34.95,62500.5,0,49.738
0049020C,0,0,0,1,31,29,1,1,34.95,33.42,7500.5,1,41.645
0051002C,1,1,0,1,41,39,0,0,34.95,53.5,62500.5,0,52.416
0051005C,1,1,0,1,44,41,1,1,38.18,39.18,62500.5,0,60.085
0051006C,1,1,0,1,44,49,0,0,38.18,53.5,62500.5,0,49.074
0051008C,1,1,0,1,40,41,0,0,38.18,35.63,87500.5,0,54.715
0051010C,1,1,0,1,37,36,1,1,38.18,39.18,87500.5,0,56.96
0051013C,1,1,0,2,41,40,1,0,35.78,39.18,87500.5,0,54.505
0051015C,1,1,0,1,42,42,0,0,35.78,64.89,150000.5,0,34.064
0051016C,1,1,0,1,36,33,0,0,34.95,53.5,32500.5,0,54.077
0051018C,1,1,0,1,33,37,1,0,59,39.2,45000.5,0,50.996
0051019C,1,1,0,1,44,37,1,0,63.43,53.5,87500.5,0,58.692
0051024C,1,1,0,1,42,41,0,1,38.18,48.69,150000.5,0,54.169
0052002C,0,1,0,1,40,45,0,0,61.56,34.95,62500.5,0,47.322
0052003C,1,1,0,3,32,27,0,0,38.18,38.18,87500.5,0,47.518
0052006C,1,1,0,1,39,40,0,0,63.43,64.89,62500.5,0,43.646
0052007C,1,1,0,1,32,32,0,0,34.95,38.18,37500.5,0,48.369
0052011C,1,1,0,1,48,61,0,0,61.56,34.95,87500.5,0,56.52
0052012C,1,1,0,1,33,35,0,0,38.18,38.18,87500.5,0,50.735
0052013C,1,1,0,1,38,38,1,0,61.56,53.5,62500.5,0,53.255
0052014C,1,1,0,1,34,36,1,1,39.18,39.2,45000.5,0,44.683
0052015C,0,1,0,1,53,55,0,0,61.56,72.1,150000.5,0,54.77
0052019C,1,1,0,1,41,61,0,1,38.18,35.63,45000.5,0,40.951
0052020C,1,1,0,1,45,44,0,0,38.18,53.5,45000.5,0,53.678
0052021C,1,1,0,1,37,43,1,1,34.95,33.42,37500.5,0,43.314
0052022C,1,1,0,1,41,41,0,0,63.43,34.95,150000.5,0,55.491
0055004C,0,1,0,2,35,36,0,1,48.69,62.87,150000.5,0,56.9
0055007C,0,1,0,1,34,35,1,0,38.18,37.67,45000.5,0,56.015
0055013C,0,1,0,1,46,45,1,0,57.83,33.42,45000.5,0,48.184
0055014C,0,1,0,1,36,38,0,0,61.56,34.95,62500.5,0,58.873
0055018C,0,1,0,1,42,47,0,0,63.43,35.63,62500.5,0,48.926
0055020C,0,1,0,1,28,30,0,0,38.18,39.18,62500.5,0,64.552
0055023C,0,1,0,2,31,38,1,0,59,39.2,37500.5,0,46.216
0055024C,0,1,0,1,36,36,1,0,34.95,39.2,62500.5,0,64.662
0056004C,0,1,0,1,40,41,0,0,63.43,64.89,87500.5,0,57.955
0056005C,0,1,0,1,40,47,0,0,38.18,48.69,87500.5,0,61.416
0056007C,0,0,1,1,39,39,0,0,63.43,64.89,87500.5,0,65.901
0056009C,0,1,0,1,37,39,0,0,63.43,35.78,87500.5,0,54.832
0056010C,0,1,0,1,38,42,1,0,38.18,39.2,87500.5,0,57.304
0056013C,0,1,0,1,37,39,1,1,35.78,39.2,45000.5,0,50.426
0056014C,0,1,0,1,37,35,1,0,34.95,38.18,45000.5,0,58.389
0056015C,0,1,0,1,46,48,1,1,53.5,53.5,87500.5,0,55.468
0057001C,0,1,0,1,42,45,0,0,38.18,35.78,87500.5,0,51.542
0057002C,0,1,0,1,44,43,0,0,52.54,62.87,150000.5,0,52.919
0057004C,0,1,0,1,42,44,0,0,38.18,64.89,87500.5,0,67.885
0057006C,0,1,0,1,38,40,0,0,38.18,53.5,150000.5,0,60.978
0057008C,0,1,0,1,51,50,0,0,38.18,53.5,87500.5,0,49.429
0057009C,0,1,0,1,45,49,0,0,61.56,77.5,150000.5,0,64.877
0057021C,0,1,0,1,36,37,0,0,63.43,39.2,62500.5,0,56.937
0057022C,0,1,0,1,40,45,0,0,53.5,53.5,150000.5,0,54.465
0057040C,0,1,0,1,41,41,0,0,61.56,35.63,150000.5,0,59.034
0058004C,1,1,0,1,34,38,0,0,63.43,53.5,87500.5,0,41.696
0058006C,0,0,0,1,37,32,1,0,35.78,33.42,37500.5,0,42.799
0058012C,1,0,0,1,34,34,1,0,63.43,39.2,32500.5,0,27.293
0058014C,0,0,0,2,32,29,1,1,37.67,37.67,37500.5,0,43.314
0058016C,1,0,0,1,46,33,0,1,35.78,39.18,37500.5,0,48.023
0058019C,1,1,0,1,31,33,1,0,53.5,53.5,45000.5,0,37.765
0058025C,1,1,0,1,34,38,0,0,63.43,53.5,87500.5,0,44.871
0062009C,0,1,0,1,37,40,1,0,38.18,35.92,87500.5,0,51.968
0062012C,0,1,0,1,34,34,0,0,61.56,33.42,87500.5,0,57.306
0062015C,0,1,0,1,32,34,0,0,48.69,35.92,45000.5,0,56.144
0062016C,0,1,0,1,45,39,0,0,34.95,34.95,62500.5,0,43.634
0062017C,0,1,0,1,43,47,0,0,38.18,62.87,62500.5,0,59.315
0062022C,0,1,0,1,28,26,1,0,34.95,35.92,37500.5,0,40.413
0064003C,0,0,0,1,29,36,0,1,38.18,48.69,87500.5,0,47.547
0064005C,0,0,0,1,28,35,0,1,33.42,39.2,27500.5,1,47.516
0064006C,0,0,0,1,28,35,0,1,37.67,39.2,37500.5,0,40.039
0064008C,0,1,0,1,53,49,0,0,38.18,52.54,17500.5,0,20.471
0064011C,0,0,0,1,27,46,1,0,35.92,35.92,87500.5,0,56.927
0064019C,0,0,0,1,48,52,0,1,33.42,53.5,37500.5,0,55.573
0064025C,0,0,0,1,27,46,1,0,35.92,35.92,87500.5,0,61.431
0066003C,0,1,0,1,39,44,1,0,34.95,53.5,62500.5,0,50.376
0066004C,0,1,0,1,44,48,1,0,53.5,39.18,62500.5,0,41.877
0066011C,0,1,0,1,30,33,1,0,53.5,53.5,62500.5,0,57.984
0066015C,0,1,0,1,44,47,1,0,38.18,38.18,45000.5,0,63.947
0066018C,0,1,0,1,45,45,1,0,61.56,39.2,87500.5,0,44.526
0066021C,0,1,0,1,38,38,0,1,38.18,62.87,62500.5,0,62.674
0066023C,0,1,0,1,37,38,1,0,34.95,39.2,22500.5,1,45.759
0067003C,1,1,0,1,40,41,1,0,38.18,39.2,87500.5,0,44.09
0067007C,1,1,0,2,39,37,0,0,38.18,35.78,62500.5,0,42.78
0067008C,1,1,0,1,27,32,1,0,38.18,33.42,87500.5,0,36.939
0067009C,1,1,0,1,47,47,0,0,38.18,35.92,87500.5,0,56.474
0067016C,1,1,0,1,42,45,0,0,63.43,52.54,87500.5,0,58.606
0067018C,1,1,0,1,39,39,0,0,53.5,53.5,150000.5,0,51.824
0067019C,1,1,0,1,38,36,1,1,38.18,35.78,87500.5,0,42.301
0067020C,1,1,0,1,47,55,0,0,34.95,39.2,45000.5,0,43.515
0067023C,1,1,0,1,36,39,0,0,52.54,53.5,200001,0,45.146
0069008C,0,1,0,1,44,43,1,0,38.18,53.5,62500.5,0,55.391
0069009C,0,1,0,1,41,40,0,0,61.56,34.95,45000.5,0,53.697
0071013C,0,0,1,1,42,52,1,1,38.18,39.18,62500.5,0,60.557
0072001C,0,0,0,1,44,45,0,0,62.87,33.42,62500.5,0,54.315
0072005C,0,1,0,1,41,41,0,0,53.5,53.5,87500.5,0,54.815
0072015C,0,1,0,2,39,39,1,0,38.18,38.18,87500.5,0,55.967
0073003C,0,1,0,1,43,54,0,0,48.69,53.5,200001,0,65.104
0073007C,0,1,0,1,45,46,0,0,52.54,35.78,200001,0,42.862
0073012C,0,1,0,1,51,51,0,0,35.78,35.78,200001,0,63.241
0073017C,0,1,0,1,39,44,0,0,53.5,38.18,200001,0,65.739
0073020C,0,1,0,1,42,42,0,0,53.5,35.78,200001,0,65.576
0073022C,0,1,0,1,43,43,0,0,62.87,53.5,200001,0,54.55
0073024C,0,1,0,1,39,41,0,0,52.54,35.78,200001,0,66.335
0073025C,0,1,0,1,45,46,0,0,52.54,35.78,200001,0,66.246
0075003C,0,1,0,1,47,48,0,1,34.95,48.69,87500.5,0,53.147
0075007C,0,1,0,1,37,39,1,0,38.18,34.95,62500.5,0,38.449
0075009C,0,1,0,1,37,38,1,0,34.95,39.2,62500.5,0,55.17
0075010C,0,1,0,1,39,39,1,1,35.78,39.2,150000.5,0,60.104
0075012C,0,1,0,1,48,56,0,0,61.56,53.5,87500.5,0,66.905
0075014C,0,1,0,1,39,39,1,0,63.43,39.2,87500.5,0,52.556
0075015C,0,1,0,1,41,44,0,0,52.54,53.5,150000.5,0,80.185
0075021C,0,1,0,1,41,47,0,0,38.18,53.5,150000.5,0,72.948
0075022C,0,1,0,1,33,36,1,0,61.56,39.18,37500.5,0,46.127
0075023C,0,1,0,1,40,43,0,0,38.18,53.5,62500.5,0,32.667
0077001C,1,1,0,1,46,46,0,1,35.78,53.5,150000.5,0,55.412
0077002C,1,0,0,1,39,34,0,0,52.54,52.54,150000.5,0,52.468
0077010C,1,1,0,1,45,45,1,0,53.5,39.2,150000.5,0,57.824
